yyyy,price,dividend,earnings,book.to.market,t.bill,aaa.rate,baa.rate,long.term.yield,net.equity,risk.free.rate,inflation,eqis,long.term.rate,corp.bond,stock.variance,cross.sec.premium,invest.capital.ratio,crsp.vw,crsp.vwx
1902,8.05,0.33,0.63,NaN,NaN,NaN,NaN,NaN,NaN,0.039893972,NaN,NaN,NaN,NaN,0.013393028,NaN,NaN,NaN,NaN
1903,6.57,0.35,0.53,NaN,NaN,NaN,NaN,NaN,NaN,0.044945218,NaN,NaN,NaN,NaN,0.024745582,NaN,NaN,NaN,NaN
1904,8.25,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,0.033364138,NaN,NaN,NaN,NaN,0.01266884,NaN,NaN,NaN,NaN
1905,9.54,0.33,0.67,NaN,NaN,NaN,NaN,NaN,NaN,0.035145776,NaN,NaN,NaN,NaN,0.015637005,NaN,NaN,NaN,NaN
1906,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,0.046852117,NaN,NaN,NaN,NaN,0.017091924,NaN,NaN,NaN,NaN
1907,6.57,0.44,0.66,NaN,NaN,NaN,NaN,NaN,NaN,0.052967677,NaN,NaN,NaN,NaN,0.047979057,NaN,NaN,NaN,NaN
1908,9.03,0.4,0.58,NaN,NaN,NaN,NaN,NaN,NaN,0.034885596,NaN,NaN,NaN,NaN,0.020052109,NaN,NaN,NaN,NaN
1909,10.3,0.44,0.76,NaN,NaN,NaN,NaN,NaN,NaN,0.031293578,NaN,NaN,NaN,NaN,0.010034856,NaN,NaN,NaN,NaN
1910,9.05,0.47,0.73,NaN,NaN,NaN,NaN,NaN,NaN,0.040750009,NaN,NaN,NaN,NaN,0.018907775,NaN,NaN,NaN,NaN
1911,9.11,0.47,0.59,NaN,NaN,NaN,NaN,NaN,NaN,0.031742712,NaN,NaN,NaN,NaN,0.007783574,NaN,NaN,NaN,NaN
1912,9.38,0.48,0.7,NaN,NaN,NaN,NaN,NaN,NaN,0.038254509,NaN,NaN,NaN,NaN,0.006454296,NaN,NaN,NaN,NaN
1913,8.04,0.48,0.63,NaN,NaN,NaN,NaN,NaN,NaN,0.045956379,0.020408163,NaN,NaN,NaN,0.010675343,NaN,NaN,NaN,NaN
1914,7.35,0.42,0.52,NaN,NaN,NaN,NaN,NaN,NaN,0.038685054,0.009636084,NaN,NaN,NaN,0.011600559,NaN,NaN,NaN,NaN
1915,9.48,0.43,0.88,NaN,NaN,NaN,NaN,NaN,NaN,0.026490187,0.019514295,NaN,NaN,NaN,0.019104943,NaN,NaN,NaN,NaN
1916,9.8,0.56,1.53,NaN,NaN,NaN,NaN,NaN,NaN,0.026263814,0.115354583,NaN,NaN,NaN,0.017832474,NaN,NaN,NaN,NaN
1917,6.8,0.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN,0.03821093,0.182506984,NaN,NaN,NaN,0.035561568,NaN,NaN,NaN,NaN
1918,7.9,0.57,0.99,NaN,NaN,NaN,NaN,NaN,NaN,0.048579958,0.202771442,NaN,NaN,NaN,0.015361258,NaN,NaN,NaN,NaN
1919,8.92,0.53,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,0.044479485,0.145753222,NaN,NaN,NaN,0.024540792,NaN,NaN,NaN,NaN
1920,6.81,0.51,0.8,NaN,0.0588,0.0626,0.0856,0.054,NaN,0.055593391,0.021238322,NaN,NaN,NaN,0.0334078,NaN,NaN,NaN,NaN
1921,7.31,0.46,0.29,0.596534654,0.039,0.055,0.0761,0.0447,NaN,0.049365049,-0.107869955,NaN,NaN,NaN,0.01901912,NaN,NaN,NaN,NaN
1922,8.78,0.51,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,0.035274147,-0.025483902,NaN,NaN,NaN,0.014713101,NaN,NaN,NaN,NaN
1923,8.55,0.53,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,0.040024195,0.025618854,NaN,NaN,NaN,0.015696907,NaN,NaN,NaN,NaN
1924,10.16,0.55,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,0.027420305,-0.001993174,NaN,NaN,NaN,0.010721562,NaN,NaN,NaN,NaN
1925,12.46,0.6,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,0.030680991,0.038328326,NaN,NaN,NaN,0.013528506,NaN,NaN,NaN,NaN
1926,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.075658519,0.032808096,-0.015097384,NaN,0.07769524,0.073744405,0.015703955,NaN,NaN,0.121939413,0.065640718
1927,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,0.069107264,0.031392634,-0.021175602,0.265512354,0.089448628,0.074436369,0.008103279,NaN,NaN,0.357965431,0.293718734
1928,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,0.026078526,0.040412148,-0.009793164,0.497429287,0.000827246,0.028411562,0.01892041,NaN,NaN,0.389665575,0.334419862
1929,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,0.165812106,0.045105139,0.001829714,0.72059294,0.034099467,0.032730041,0.118618585,NaN,NaN,-0.076039944,-0.109361422
1930,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,0.119841856,0.022518632,-0.060665091,0.307847488,0.046429195,0.079750525,0.055266323,NaN,NaN,-0.263309509,-0.296230884
1931,8.12,0.82,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,0.004419537,0.011525559,-0.095711494,0.144664698,-0.053157349,-0.01850982,0.125535644,NaN,NaN,-0.456487941,-0.490473894
1932,6.89,0.5,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,0.008924152,0.007824004,-0.103577705,0.037267081,0.168452113,0.108202241,0.221067185,NaN,NaN,-0.091424351,-0.150400812
1933,10.1,0.44,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,0.010057006,0.002560819,0.004298585,0.401055409,-0.000693027,0.103760563,0.185487451,NaN,NaN,0.546496744,0.486509877
1934,9.5,0.45,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,0.01897045,0.00278675,0.02010409,0.071283096,0.100149979,0.138434461,0.053307841,NaN,NaN,-0.024889739,-0.061182613
1935,13.43,0.47,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,0.012029227,0.001676285,0.029605318,0.06619594,0.049960876,0.096148561,0.02548628,NaN,NaN,0.456681904,0.400595142
1936,17.18,0.72,1.02,0.458588105,0.0012,0.031,0.0453,0.0255,0.018230986,0.00172636,0.011962564,0.120576671,0.074958063,0.067442837,0.023028043,NaN,NaN,0.336377252,0.281439746
1937,10.55,0.8,1.13,0.707488622,0.0011,0.0321,0.0573,0.0273,0.023745904,0.002761749,0.030851292,0.312371558,0.002326474,0.027467315,0.077818125,0.002833122,NaN,-0.360487707,-0.394710865
1938,13.21,0.51,0.64,0.572039388,0.0003,0.0308,0.0527,0.0252,0.0090465,0.000650192,-0.027960921,0.044922789,0.055118173,0.061326554,0.080497448,0.004166964,NaN,0.293958825,0.243775734
1939,12.49,0.62,0.9,0.58070538,0.0004,0.0294,0.0492,0.0226,0.005796031,0.000458426,-0.004993176,0.085489834,0.059497143,0.03966276,0.048597327,0.006074034,NaN,-0.010907903,-0.056485043
1940,10.58,0.67,1.05,0.72904751,0.0002,0.0271,0.0445,0.0194,0.010683292,0.00035839,0.009512142,0.118711545,0.060922431,0.033940852,0.038093018,0.004261973,NaN,-0.097137509,-0.150949128
1941,8.69,0.71,1.16,0.889509733,0.0033,0.028,0.0438,0.0204,0.012409961,0.001292401,0.096548983,0.11420932,0.009318208,0.027314184,0.016336226,0.003446983,NaN,-0.111662134,-0.174751344
1942,9.77,0.59,1.03,0.862646566,0.0038,0.0281,0.0428,0.0246,0.001800012,0.00343037,0.09243564,0.123800384,0.032178429,0.025981138,0.013030453,0.005100943,NaN,0.208327638,0.128504285
1943,11.67,0.61,0.94,0.787401575,0.0038,0.0274,0.0382,0.0248,0.019532401,0.003806625,0.031335627,0.164305949,0.0208789,0.028325935,0.013378363,0.001962398,NaN,0.26541022,0.202031123
1944,13.28,0.64,0.93,0.743763575,0.0038,0.027,0.0349,0.0246,0.007931102,0.003806625,0.021012204,0.164524422,0.028150892,0.047321891,0.006417179,0.003522317,NaN,0.21026315,0.149992918
1945,17.36,0.66,0.96,0.613239334,0.0038,0.0261,0.031,0.0199,0.021372691,0.003806625,0.022415866,0.211740042,0.107309039,0.040756743,0.012687353,0.004328006,NaN,0.362362443,0.305367298
1946,15.3,0.71,1.06,0.692437923,0.0038,0.0261,0.0317,0.0212,0.05120723,0.003806625,0.17870343,0.318482102,-0.000841924,0.017229556,0.040786613,0.001781041,NaN,-0.087942027,-0.124126602
1947,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,0.03024408,0.006024682,0.089267308,0.239629866,-0.026274662,-0.023363835,0.015633301,0.004760925,0.033974812,0.049048013,-0.006530221
1948,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,0.015153631,0.01050018,0.026662928,0.157140449,0.033850148,0.041358787,0.018146576,0.00163301,0.034489675,0.052755751,-0.008488233
1949,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,0.026847342,0.011207144,-0.018168853,0.191869113,0.06439053,0.033087624,0.009338293,0.004252018,0.02868655,0.178517891,0.095653451
1950,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,0.031483649,0.012099886,0.057629009,0.227022781,0.00050483,0.021151812,0.017601244,0.005662515,0.034130144,0.32958299,0.230071425
1951,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.03592448,0.015280939,0.05846513,0.264823666,-0.039421605,-0.02690309,0.009812227,0.004146893,0.032287964,0.234192026,0.160200264
1952,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,0.026509528,0.017361545,0.008764203,0.202497115,0.011693102,0.035209224,0.005004851,0.003445919,0.031665219,0.189394856,0.12288334
1953,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,0.024663197,0.019072767,0.006202167,0.203978422,0.036258194,0.034114425,0.006897558,0.00279331,0.032926429,-0.017075069,-0.073010098
1954,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.026000599,0.009423692,-0.004995257,0.213197436,0.071776468,0.053858485,0.006363023,0.002845475,0.031498387,0.526129758,0.449426395
1955,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,0.025807175,0.017386227,0.003724327,0.275390625,-0.012834489,0.00479737,0.015611759,0.000243799,0.035648097,0.313281138,0.257992024
1956,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,0.025433013,0.02659339,0.028521339,0.268488893,-0.055942165,-0.068146268,0.010983629,0.000969841,0.034348849,0.064565294,0.021946741
1957,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,0.034887398,0.032730852,0.030172203,0.227001009,0.074664669,0.087135458,0.016818142,0.000667927,0.033078518,-0.108357544,-0.147419395
1958,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.023685532,0.017850477,0.017556949,0.164835165,-0.061062035,-0.022169912,0.007884244,0.001585812,0.029381573,0.437871506,0.383221057
1959,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.022998988,0.034387177,0.014965568,0.262439725,-0.022663557,-0.009667896,0.007989446,0.000975372,0.031385961,0.123364443,0.087546966
1960,58.11,1.95,3.27,0.550422965,0.0225,0.0435,0.051,0.038,0.023149001,0.029215378,0.014741035,0.204155998,0.137933943,0.090664916,0.009731235,-0.001362514,0.031217482,0.005335584,-0.028978559
1961,71.55,2.02,3.19,0.505922258,0.026,0.0442,0.051,0.0415,0.020645383,0.023797303,0.006705221,0.284412033,0.009678427,0.048183189,0.006111746,-0.002210744,0.031749742,0.270868836,0.232665265
1962,63.1,2.13,3.67,0.591627051,0.0287,0.0424,0.0492,0.0395,0.020822278,0.028088565,0.012209375,0.162167212,0.068829489,0.079450363,0.027624927,-0.002796575,0.032663105,-0.087506313,-0.118615769
1963,75.02,2.28,4.02,0.525591454,0.0352,0.0435,0.0485,0.0417,0.008938387,0.032052866,0.016458888,0.111474338,0.012143645,0.021948748,0.006558011,-0.001496869,0.034680583,0.227047162,0.187870152
1964,84.75,2.5,4.55,0.4872273,0.0384,0.0444,0.0481,0.0423,0.023053757,0.036048872,0.011878316,0.221465931,0.035117029,0.047723132,0.002492429,-0.002380573,0.036892144,0.16669173,0.132001762
1965,92.43,2.72,5.19,0.430637806,0.0438,0.0468,0.0502,0.045,0.020768513,0.040214278,0.019195488,0.142071036,0.00701937,-0.004567939,0.004388553,-0.000812888,0.041789807,0.12611806,0.092090137
1966,80.33,2.87,5.55,0.576945106,0.0496,0.0539,0.0618,0.0455,0.01718598,0.049723031,0.033473675,0.139047198,0.036450083,0.00195292,0.013599015,-4.98789E-05,0.041717136,-0.10196591,-0.132067638
1967,96.47,2.92,5.33,0.525792445,0.0497,0.0619,0.0693,0.0556,0.014249027,0.043926198,0.030378838,0.114686668,-0.091765265,-0.049505868,0.006794733,0.002952225,0.03892621,0.239670944,0.200882139
1968,103.86,3.07,5.76,0.504900662,0.0596,0.0645,0.0723,0.0598,0.031947725,0.054708722,0.047143776,0.208640626,-0.002573778,0.025739132,0.007747588,0.002347561,0.038961473,0.108411611,0.074436932
1969,92.06,3.16,5.78,0.651082013,0.0782,0.0772,0.0865,0.0687,0.034260597,0.068740469,0.060918883,0.313951314,-0.050736015,-0.080904314,0.011238514,0.000822252,0.039103889,-0.083118229,-0.113094882
1970,92.15,3.12,5.13,0.646426358,0.0487,0.0764,0.0912,0.0648,0.031536474,0.065820217,0.054782072,0.222884141,0.121021807,0.18371379,0.024812321,0.001512501,0.035500917,0.039959576,0.001677925
1971,102.09,3.07,5.7,0.643900247,0.0401,0.0725,0.0838,0.0597,0.033892573,0.044194487,0.033524099,0.287447328,0.132367216,0.11012586,0.010757483,0.00225388,0.035774306,0.144642799,0.109243729
1972,118.05,3.16,6.42,0.595674595,0.0507,0.0708,0.0793,0.0599,0.034280501,0.041492401,0.034062636,0.311294897,0.056824421,0.072597518,0.006169437,0.000311447,0.038352384,0.19105904,0.157557326
1973,97.55,3.4,8.16,0.755588463,0.0745,0.0768,0.0848,0.0726,0.012841074,0.07262304,0.08756386,0.333083765,-0.011103879,0.011394965,0.023850784,-0.000640199,0.040378062,-0.147971915,-0.174802264
1974,68.56,3.62,8.89,1.120018175,0.0715,0.0889,0.1063,0.076,0.008895365,0.081170875,0.121372547,0.163064474,0.043426493,-0.030617513,0.043069858,-0.000830488,0.036539243,-0.264193632,-0.296625547
1975,90.19,3.69,7.96,0.876338851,0.0544,0.0879,0.1056,0.0805,0.023593561,0.059302585,0.06991222,0.202599873,0.091868877,0.146442563,0.021820929,-0.000465116,0.032824976,0.369532186,0.31356798
1976,107.46,4.09,9.91,0.779973125,0.0435,0.0798,0.0912,0.0721,0.028690982,0.050891209,0.04799947,0.207928029,0.16764511,0.186468694,0.010867466,-0.001122704,0.034107775,0.23916309,0.191265503
1977,95.1,4.71,10.89,0.960333025,0.0607,0.0819,0.0899,0.0803,0.030501373,0.053981407,0.067484139,0.218935901,-0.006988548,0.017097783,0.00691793,-0.00183389,0.036950509,-0.074280461,-0.11690322
1978,96.11,5.12,12.33,1.045701296,0.0908,0.0916,0.0994,0.0898,0.014734805,0.074295761,0.089918247,0.219449153,-0.01165869,-0.000703563,0.014462409,-0.001548154,0.041008724,0.063996968,0.009464918
1979,107.94,5.7,14.86,1.061950068,0.1204,0.1074,0.1206,0.1012,0.010382317,0.10546597,0.132330995,0.220056739,-0.012503116,-0.042004106,0.011714795,-0.000371131,0.040549182,0.186005073,0.122759008
1980,135.76,6.24,14.82,0.891503024,0.1549,0.1321,0.1514,0.1199,0.026943668,0.120495308,0.12324694,0.278024289,-0.039529864,-0.02756526,0.026658522,0.001020158,0.037848449,0.32597116,0.259774198
1981,122.55,6.65,15.36,1.061142857,0.1085,0.1423,0.1655,0.1334,0.012006905,0.149613729,0.089009813,0.362175137,0.018569706,-0.012361932,0.017116902,-0.001279466,0.039053955,-0.048778982,-0.096507932
1982,140.64,6.89,12.64,0.932214727,0.0794,0.1183,0.1414,0.1095,0.003010052,0.111438278,0.038541081,0.364753903,0.403503691,0.425618993,0.027420391,-0.001346349,0.033225331,0.221516344,0.153876619
1983,164.93,7.12,14.03,0.700359118,0.09,0.1257,0.1375,0.1197,0.026986611,0.089588457,0.037878352,0.430007753,0.006519063,0.062585764,0.014744208,-0.001693727,0.035576412,0.223033766,0.170288283
1984,167.24,7.57,16.64,0.733098377,0.0806,0.1213,0.134,0.117,-0.02715304,0.099490814,0.039457235,0.170737412,0.15492498,0.168601577,0.012883634,-0.001127664,0.038907856,0.06690047,0.018421496
1985,211.28,7.94,14.61,0.592692688,0.071,0.1016,0.1158,0.0956,-0.019597815,0.077408396,0.037653793,0.176455391,0.30971145,0.300908898,0.00811027,-0.001721356,0.037880298,0.320081777,0.266153885
1986,242.17,8.3,14.48,0.498430866,0.0553,0.0849,0.0997,0.0789,-0.009955954,0.061447184,0.011247972,0.164734155,0.245212379,0.198474773,0.015839734,-0.002240325,0.034670247,0.180650025,0.138588565
1987,247.08,8.505,17.5,0.508812016,0.0577,0.1011,0.1129,0.092,0.013341879,0.059303056,0.044241991,0.150406825,-0.027165685,-0.002675911,0.077489058,-0.00270069,0.034288026,0.051471301,0.016394641
1988,277.72,9.73,23.75,0.465283574,0.0807,0.0957,0.1065,0.0918,-0.021639156,0.068747977,0.044098837,0.114644401,0.096665852,0.107041209,0.019642908,-0.002291317,0.034626418,0.169508209,0.120606744
1989,353.4,11.05,22.87,0.390454744,0.0763,0.0886,0.0982,0.0816,-0.012320164,0.084200732,0.046366161,0.097787238,0.180974998,0.162313634,0.011999927,-0.002928834,0.034780437,0.313931063,0.267450144
1990,330.22,12.09,21.34,0.48449686,0.0674,0.0905,0.1043,0.0844,-0.001736934,0.077560711,0.060849892,0.078345326,0.0616925,0.067827349,0.020520877,-0.002338233,0.032933665,-0.032031358,-0.066037437
1991,417.09,12.2,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.031638371,0.055092663,0.030591052,0.152766953,0.1926494,0.198889668,0.016815862,-0.001253216,0.030480538,0.306783185,0.266005888
1992,435.71,12.38,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.038816455,0.034860972,0.028958759,0.150194882,0.080535796,0.093934337,0.008020192,-0.001111524,0.032394558,0.07732001,0.046014844
1993,466.45,12.58,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.045852722,0.030390244,0.0274382,0.144115072,0.182345818,0.13185004,0.006344886,-0.001012497,0.034181922,0.098863199,0.06869402
1994,459.27,13.18,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.01665684,0.043300503,0.026709258,0.120390285,-0.077770776,-0.057610696,0.008469365,-0.000576007,0.036079106,0.013489877,-0.014677714
1995,615.93,13.79,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.015583024,0.056302531,0.025341322,0.12124072,0.316564929,0.272042355,0.005775299,-0.000146604,0.037067529,0.376443929,0.342424502
1996,740.74,14.9,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.023234348,0.051222933,0.03316242,0.198665864,-0.009184554,0.01401567,0.011885011,-0.000396755,0.039387395,0.232287102,0.205480671
1997,970.43,15.49,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.01528693,0.051798849,0.016999183,0.142700117,0.158659371,0.129494216,0.025203848,-0.000888779,0.04128866,0.336038827,0.31273426
1998,1229.23,16.2,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.019813482,0.048825927,0.016104074,0.120658603,0.130704037,0.10755564,0.037951507,-0.001033873,0.042800697,0.293202322,0.273932312
1999,1469.25,16.69,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.016637769,0.047381896,0.026789226,0.13845605,-0.089898841,-0.074542595,0.029133629,0.000064278,0.042894855,0.213496063,0.197744045
2000,1320.28,16.27,50,0.151851504,0.0577,0.0721,0.0802,0.0558,-0.005351817,0.059742443,0.033777383,0.140989561,0.214934372,0.128545365,0.059994877,-0.000524853,0.042964123,-0.083382238,-0.093932429
2001,1148.08,15.74,24.69,0.131217846,0.0169,0.0677,0.0805,0.0575,0.015639337,0.034409534,0.015437319,0.086543116,0.037027522,0.106366572,0.047486371,-0.001336167,0.036503035,-0.118897439,-0.130679438
2002,879.82,16.077,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.031038492,0.016159995,0.023714888,0.082027658,0.178413928,0.166415175,0.060216771,-0.004144305,0.032821656,-0.217783544,-0.23061326
2003,1111.92,17.385,48.74,0.218739865,0.009,0.0562,0.066,0.0515,0.007395003,0.010155248,0.018755168,0.072423089,0.008959396,0.052725551,0.025768665,NaN,0.03337564,0.287151094,0.264139313
2004,1211.92,19.44,58.55,0.270619243,0.0219,0.0547,0.0615,0.0484,0.013046305,0.013802408,0.032555616,0.078297462,0.084973184,0.087211543,0.012612338,NaN,0.034694545,0.109835832,0.08740651
2005,1248.29,22.22,69.93,0.313477957,0.0389,0.0537,0.0632,0.0461,0.003735874,0.031923395,0.034156595,0.051071208,0.078075593,0.058722731,0.010587438,NaN,0.035060462,0.051973413,0.032722054
2006,1418.3,24.881,81.51,0.2816824,0.0485,0.0532,0.0622,0.0491,-0.015877868,0.048303994,0.025406504,0.049123339,0.011759539,0.032355359,0.01128241,NaN,0.035348461,0.156720215,0.135024753
2007,1468.36,27.731,65.29,0.250582973,0.03,0.0549,0.0665,0.045,-0.041698604,0.044410613,0.040812686,0.077726497,0.098927963,0.025890017,0.024959914,NaN,0.036356926,0.057490411,0.037549792
2008,903.25,28.387,14.88,0.354984225,0.0003,0.0505,0.0843,0.0303,-0.026269272,0.013733341,0.000914129,0.216433766,0.258617706,0.087896464,0.163486383,NaN,0.033078444,-0.364638792,-0.379658297
2009,1115.1,22.407,50.97,0.32553066,0.0005,0.0526,0.0637,0.0458,0.011237044,0.001501012,0.027213311,0.230850974,-0.148982727,0.030012264,0.079859498,NaN,0.027921009,0.264851084,0.232959168
